date,team,assists,ats margin,ats streak,biggest lead,blocks,conference,defensive rebounds,fast break points,field goals attempted,field goals made,fouls,free throws attempted,free throws made,game number,line,losses,margin,margin after the first,margin after the third,margin at the half,matchup losses,matchup wins,offensive rebounds,playoffs,points,points in the paint,position,rebounds,rest,season,steals,streak,team rebounds,three pointers attempted,three pointers made,total,turnovers,wins,o:team,o:assists,o:ats margin,o:ats streak,o:biggest lead,o:blocks,o:conference,o:defensive rebounds,o:fast break points,o:field goals attempted,o:field goals made,o:fouls,o:free throws attempted,o:free throws made,o:game number,o:line,o:losses,o:margin,o:margin after the first,o:margin after the third,o:margin at the half,o:matchup losses,o:matchup wins,o:offensive rebounds,o:playoffs,o:points,o:points in the paint,o:position,o:rebounds,o:rest,o:season,o:steals,o:streak,o:team rebounds,o:three pointers attempted,o:three pointers made,o:total,o:turnovers,o:wins
20101027,Pacers,20,-4,0,3,6,Eastern,27,24,77,41,26,28,19,1,9,0,-13,-6,-3,-1,0,0,9,0,109,38,0,36,0,2010,9,0,13,21,8,203.5,23,0,Spurs,29,4,0,18,5,Western,26,22,83,42,21,36,29,1,-9,0,13,6,3,1,0,0,9,0,122,40,0,35,0,2010,15,0,9,20,9,203.5,14,0
20101027,Thunder,17,4.5,0,13,10,Western,35,23,78,32,15,47,38,1,-6.5,0,11,5,0,5,0,0,9,0,106,40,0,44,0,2010,11,0,10,18,4,193.5,12,0,Bulls,21,-4.5,0,4,6,Eastern,36,11,93,40,28,22,13,1,6.5,0,-11,-5,0,-5,0,0,15,0,95,50,0,51,0,2010,6,0,12,14,2,193.5,14,0
20101027,Bulls,21,-4.5,0,4,6,Eastern,36,11,93,40,28,22,13,1,6.5,0,-11,-5,0,-5,0,0,15,0,95,50,0,51,0,2010,6,0,12,14,2,193.5,14,0,Thunder,17,4.5,0,13,10,Western,35,23,78,32,15,47,38,1,-6.5,0,11,5,0,5,0,0,9,0,106,40,0,44,0,2010,11,0,10,18,4,193.5,12,0
20101027,Timberwolves,22,-4,0,9,8,Western,35,35,91,43,32,28,22,1,-3,0,-1,-4,-4,5,0,0,11,0,116,46,0,46,0,2010,5,0,12,18,8,204,13,0,Kings,25,4,0,9,4,Western,31,19,85,39,24,47,35,1,3,0,1,4,4,-5,0,0,14,0,117,40,0,45,0,2010,8,0,9,11,4,204,13,0
20101027,Kings,25,4,0,9,4,Western,31,19,85,39,24,47,35,1,3,0,1,4,4,-5,0,0,14,0,117,40,0,45,0,2010,8,0,9,11,4,204,13,0,Timberwolves,22,-4,0,9,8,Western,35,35,91,43,32,28,22,1,-3,0,-1,-4,-4,5,0,0,11,0,116,46,0,46,0,2010,5,0,12,18,8,204,13,0
20101027,Warriors,25,0,0,12,7,Western,31,27,92,51,30,26,22,1,-4,0,4,3,8,-1,0,0,14,0,132,48,0,45,0,2010,5,0,7,20,8,216.5,12,0,Rockets,24,0,1,4,2,Western,24,20,87,41,20,52,42,2,4,1,-4,-3,-8,1,0,0,15,0,128,66,0,39,0,2010,9,-1,10,16,4,216.5,9,0
20101027,Rockets,24,0,1,4,2,Western,24,20,87,41,20,52,42,2,4,1,-4,-3,-8,1,0,0,15,0,128,66,0,39,0,2010,9,-1,10,16,4,216.5,9,0,Warriors,25,0,0,12,7,Western,31,27,92,51,30,26,22,1,-4,0,4,3,8,-1,0,0,14,0,132,48,0,45,0,2010,5,0,7,20,8,216.5,12,0
20101028,Jazz,19,-23,-1,0,6,Western,31,14,84,36,28,27,19,2,-7,1,-16,-5,-12,-16,0,0,14,0,94,48,0,45,0,2010,8,-1,7,13,3,208,16,0,Suns,20,23,-1,18,4,Western,32,20,80,37,25,34,26,2,7,1,16,5,12,16,0,0,12,0,110,44,0,44,1,2010,11,-1,11,26,10,208,14,0
20101028,Suns,20,23,-1,18,4,Western,32,20,80,37,25,34,26,2,7,1,16,5,12,16,0,0,12,0,110,44,0,44,1,2010,11,-1,11,26,10,208,14,0,Jazz,19,-23,-1,0,6,Western,31,14,84,36,28,27,19,2,-7,1,-16,-5,-12,-16,0,0,14,0,94,48,0,45,0,2010,8,-1,7,13,3,208,16,0
20101028,Magic,20,15,0,35,3,Eastern,42,14,77,43,22,32,18,1,-14,0,29,14,31,24,0,0,11,0,112,56,0,53,0,2010,5,0,14,24,8,191.5,21,0,Wizards,17,-15,0,0,3,Eastern,22,22,78,29,25,30,21,1,14,0,-29,-14,-31,-24,0,0,3,0,83,28,0,25,0,2010,10,0,14,19,4,191.5,13,0
